lambda_j,p_jump,lambda_a,alpha,delta0,k0,n,mean0,mean1,median0,median1,sc0,as0,ic0,sc1,as1,ic1,diff_mean,ci_lo,ci_hi,passes
0.2,0.2,4.0,0.4,8.0,3,30,122.06666666666666,61.1,176.5,139.0,399.3,-274.2,-3.033333333333333,314.8333333333333,-241.3,-12.433333333333334,-60.96666666666667,-94.7,-32.699166666666684,False
0.2,0.2,4.0,0.4,8.0,5,30,213.5,61.1,241.0,139.0,516.0,-299.1666666666667,-3.3333333333333335,314.8333333333333,-241.3,-12.433333333333334,-152.4,-197.4025,-114.2,False
0.2,0.2,4.0,0.5,8.0,2,30,18.233333333333334,55.6,106.0,125.5,268.73333333333335,-262.8,12.3,286.01666666666665,-224.98333333333332,-5.433333333333334,37.36666666666667,13.599166666666667,63.068333333333314,True
0.2,0.2,4.0,0.5,8.0,3,30,98.43333333333334,55.6,152.5,125.5,348.8,-255.3,4.933333333333334,286.01666666666665,-224.98333333333332,-5.433333333333334,-42.833333333333336,-76.20166666666667,-11.932500000000012,False
0.2,0.2,4.0,0.5,8.0,5,30,182.6,55.6,203.5,125.5,456.5,-275.1333333333333,1.2333333333333334,286.01666666666665,-224.98333333333332,-5.433333333333334,-127.0,-173.8,-85.16583333333335,False
0.5,0.2,4.0,0.05,4.0,2,30,112.4,124.6,125.0,126.5,295.1333333333333,-156.23333333333332,-26.5,275.0,-127.6,-22.8,12.2,-44.86666666666667,70.43333333333334,False
0.5,0.2,4.0,0.05,4.0,3,30,133.86666666666667,124.6,195.5,126.5,350.5,-195.36666666666667,-21.266666666666666,275.0,-127.6,-22.8,-9.266666666666667,-81.56833333333333,74.73416666666665,False
0.5,0.2,4.0,0.05,4.0,5,30,166.66666666666666,124.6,174.0,126.5,365.0,-207.36666666666667,9.033333333333333,275.0,-127.6,-22.8,-42.06666666666667,-117.43333333333334,56.73416666666665,False
0.5,0.2,4.0,0.1,4.0,2,30,-60.266666666666666,-4.366666666666666,72.0,111.0,297.0,-333.46666666666664,-23.8,301.71666666666664,-270.48333333333335,-35.6,55.9,6.4633333333333365,109.80166666666663,False
0.5,0.2,4.0,0.1,4.0,3,30,8.0,-4.366666666666666,124.5,111.0,356.5,-324.23333333333335,-24.266666666666666,301.71666666666664,-270.48333333333335,-35.6,-12.366666666666667,-56.901666666666664,31.36916666666663,False
